run_id,tags.mlflow.runName,params.vector_db,params.top_k,params.temperature,params.model_chat,params.model_embed,params.filter_fields,metrics.judge_mean,metrics.judge_pass_rate_ge_0.8,metrics.judge_min,metrics.n_examples,tags.eval_run_id
e6912e9fbe3b4976a310e386d6e19e03,catalog_embeddings_improved|k=5|t=0.1|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},catalog_embeddings_improved,5,0.1,gpt-4.1-nano,text-embedding-3-small,{},,,,,
5bd8b1a4b9a84d1a92a888733a536a9f,catalog_embeddings_improved|k=5|t=0|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},catalog_embeddings_improved,5,0,gpt-4.1-mini,text-embedding-3-small,{},,,,,
42610ac4b066421c9ec8de8199d40562,catalog_embeddings_improved|k=5|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},catalog_embeddings_improved,5,0,gpt-4.1-nano,text-embedding-3-small,{},,,,,
d8c11ac447db40f5ad86353acceb7011,fixed_window_embeddings|k=10|t=0.3|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.3,gpt-4.1-mini,text-embedding-3-small,{},,,,,
84fdda5053ae46a487267e49f2a26a9f,fixed_window_embeddings|k=10|t=0.3|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.3,gpt-4.1-nano,text-embedding-3-small,{},,,,,
2de36c3e99f647b09fdc2e4977a382c2,fixed_window_embeddings|k=10|t=0.1|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.1,gpt-4.1-mini,text-embedding-3-small,{},,,,,
74d1475ee0eb4dafb358743be6d39d6b,fixed_window_embeddings|k=10|t=0.1|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0.1,gpt-4.1-nano,text-embedding-3-small,{},,,,,
568e6e1af4fb4158a153d9c1f574ce6e,fixed_window_embeddings|k=10|t=0|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0,gpt-4.1-mini,text-embedding-3-small,{},,,,,
226557b7a3184523b38986d51cff33c5,fixed_window_embeddings|k=10|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,10,0,gpt-4.1-nano,text-embedding-3-small,{},,,,,
a61dbfe0307f433189fa31f172536e5d,fixed_window_embeddings|k=5|t=0.3|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0.3,gpt-4.1-mini,text-embedding-3-small,{},,,,,
a659eff97b5547d29037f6e48817ac7f,fixed_window_embeddings|k=5|t=0.3|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0.3,gpt-4.1-nano,text-embedding-3-small,{},,,,,
ac8dfdf7fa5141ceb47f2b65c9f3ac7b,fixed_window_embeddings|k=5|t=0.1|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0.1,gpt-4.1-mini,text-embedding-3-small,{},,,,,
62c9aa8e1f904b2da1858986ee329dda,fixed_window_embeddings|k=5|t=0.1|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0.1,gpt-4.1-nano,text-embedding-3-small,{},,,,,
9e8709f7ddcb4460aac0a8e5220ff743,fixed_window_embeddings|k=5|t=0|chat=gpt-4.1-mini|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0,gpt-4.1-mini,text-embedding-3-small,{},,,,,
21a866ebadf8461db177ed02923241e9,fixed_window_embeddings|k=5|t=0|chat=gpt-4.1-nano|emb=text-embedding-3-small|f={},fixed_window_embeddings,5,0,gpt-4.1-nano,text-embedding-3-small,{},,,,,
